Field,Data element,Description,Key Field,Checktable,Datatype,Length,Decimals,Possible values
COMMODITY,TBA_STOEFFCHEN,Physical Commodity,,TBAC_PHYSCOMM,CHAR,18,0,
ANIMAL_ORIGIN,WRF_ANIMAL_ORIGIN_FLAG,Indicator: Contains Non-Textile Parts of Animal Origin,,,CHAR,1,0,Possible values
TEXTILE_COMP_IND,WRF_TEXTL_COMP_IND,Indicator: New Textile Composition Function,,,CHAR,1,0,Possible values
ANP,J_1BANP,ANP Code,,J_1BTANP,NUMC,9,0,
/BEV1/LULEINH,/BEV1/LULEINH,Loading Units,,,NUMC,8,0,
/BEV1/LULDEGRP,/BEV1/LULDEGRP,Loading Unit Group: IS Beverage,,/BEV1/LUT906,CHAR,3,0,
/BEV1/NESTRUCCAT,/BEV1/NESTRUC_CAT,Structure Category for Material Relationship,,,CHAR,1,0,Possible values
/CWM/XCWMAT,/CWM/XCWMAT,Material Is Activated for Catch Weight,,,CHAR,1,0,Possible values
/CWM/VALUM,/CWM/VALUM,Valuation Unit of Measure,,,UNIT,3,0,
/CWM/TOLGR,/CWM/TOLGR,Tolerance Group for Catch Weight Management,,/CWM/TOLGROUP,CHAR,9,0,
/CWM/TARA,/CWM/TARA,Consider Complete Tare for each Reference Unit of Measure,,,CHAR,1,0,Possible values
/CWM/TARUM,/CWM/TARUM,Reference Unit of Measure for the TARE Calculation,,T006,UNIT,3,0,
/DSD/SL_TOLTYP,/DSD/SL_TOLTYP_ID,Tolerance Type ID,,/DSD/SL_TGTYP,CHAR,4,0,
/DSD/SV_CNT_GRP,/DSD/SV_COUNT_GROUP,Counting Group,,/DSD/SV_CNTGR,CHAR,10,0,
/DSD/VC_GROUP,/DSD/VC_GROUP,DSD Grouping,,/DSD/VC_GRP,CHAR,6,0,
/VSO/R_TILT_IND,/VSO/M_TILT_IND,Material may be Tilted (Vehicle Space Optimization),,,CHAR,1,0,Possible values
/VSO/R_STACK_IND,/VSO/M_STACK_IND,Stacking not Allowed (VSO),,,CHAR,1,0,Possible values
/VSO/R_BOT_IND,/VSO/M_BOTTOM_IND,Bottom Layer (Vehicle Space Optimization),,,CHAR,1,0,Possible values
/VSO/R_TOP_IND,/VSO/M_TOP_IND,Top Layer (VSO),,,CHAR,1,0,Possible values
/VSO/R_STACK_NO,/VSO/M_STACK_NO,Stacking Factor (Vehicle Space Optimization),,,NUMC,3,0,
/VSO/R_PAL_IND,/VSO/M_PALLET_IND,Load without Packaging Material (VSO),,,CHAR,1,0,Possible values
/VSO/R_PAL_OVR_D,/VSO/R_PAL_OVR_D,Permissible Overhang (Depth) of Packaging Material (VSO),,,QUAN,13,3,
/VSO/R_PAL_OVR_W,/VSO/R_PAL_OVR_W,Permissible Overhang (Width) of Shipping Material (VSO),,,QUAN,13,3,
/VSO/R_PAL_B_HT,/VSO/R_PAL_BIN_HGT,Maximum Stacking Height of the Packaging Material (VSO),,,QUAN,13,3,
/VSO/R_TOL_B_HT,/VSO/R_TOL_BIN_HT,Tolerance to Exceed the Max. Stacking Height (VSO),,,QUAN,13,3,
/VSO/R_QUAN_UNIT,/VSO/R_QUAN_UNIT,Unit of Measure Vehicle Space Optimization,,,UNIT,3,0,
PACKCODE,CBUNE_PACODE,Packaging Code,,CCUNC121,CHAR,10,0,
MCOND,DFPS_MCOND,Material Condition Management,,,CHAR,1,0,Possible values
LOGLEV_RETO,DFPS_LOGLEV_RETO,Return to Logistics Level,,,CHAR,1,0,
ADSPC_SPC,ADSPC_SPC,Spare Part Class Code,,,NUMC,1,0,Possible values
PICNUM,PIC_PICNUM_SUS,Supersession chain number,,,CHAR,18,0,
COLOR_ATINN,WRF_COLOR_ATINN,Internal Charactieristic Number for Color Characteristics,,,NUMC,10,0,
SIZE2_ATINN,WRF_SIZE2_ATINN,Internal Char. Number for Characteristics for Second Sizes,,,NUMC,10,0,
SIZE1,WRF_SIZE1,Characteristic Value for Main Sizes of Variants,,,CHAR,18,0,
FREE_CHAR,WRF_FREE_CHAR,Characteristic Value for Evaluation Purposes,,,CHAR,18,0,
BRAND_ID,WRF_BRAND_ID,Brand,,WRF_BRANDS,CHAR,4,0,
FIBER_CODE1,WRF_FIBER_CODE_1,Fiber Code for Textiles (Component 1),,WRF_FIBER_CODES,CHAR,3,0,
FIBER_PART1,WRF_FIBER_PART_1,Percentage Share of Fiber (Component 1),,,NUMC,3,0,
FIBER_CODE2,WRF_FIBER_CODE_2,Fiber Code for Textiles (Component 2),,WRF_FIBER_CODES,CHAR,3,0,
FIBER_PART2,WRF_FIBER_PART_2,Percentage Share of Fiber (Component 2),,,NUMC,3,0,
FIBER_CODE3,WRF_FIBER_CODE_3,Fiber Code for Textiles (Component 3),,WRF_FIBER_CODES,CHAR,3,0,
FIBER_PART3,WRF_FIBER_PART_3,Percentage Share of Fiber (Component 3),,,NUMC,3,0,
FIBER_CODE4,WRF_FIBER_CODE_4,Fiber Code for Textiles (Component 4),,WRF_FIBER_CODES,CHAR,3,0,
FIBER_PART4,WRF_FIBER_PART_4,Percentage Share of Fiber (Component 4),,,NUMC,3,0,
FIBER_CODE5,WRF_FIBER_CODE_5,Fiber Code for Textiles (Component 5),,WRF_FIBER_CODES,CHAR,3,0,
FIBER_PART5,WRF_FIBER_PART_5,Percentage Share of Fiber (Component 5),,,NUMC,3,0,
FASHGRD,FASHGRD,Fashion Grade,,T6WFG,CHAR,4,0,
COBJID,HROBJID,Object ID,,,NUMC,8,0,
COTYPE,OTYPE,Object Type,,,CHAR,2,0,
OIGROUPNAM,OIG_PCG,TD product group,,TOIGAP,CHAR,8,0,
OITRIND,OIH_TRIND,Transfer sign for plant-to-plant transfers,,,CHAR,1,0,Possible values
OIHMTXGR,OIH_J1B_MTXGR,Material tax group,,OIH2M_J1B,CHAR,4,0,
